page_marker;row_no;material;alias;regime;property;value;unit;effect;source;raw_comment
PAGE 5;291;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 5;292;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 5;293;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 5;294;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 5;295;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Лаборатория термообработки ЛТ-2;"For 15-5PH, tempering produced fatigue limit = 640 MPa; the reported effect was increase."
PAGE 5;296;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 5;297;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Отдел металлографии ОМГ-3;"Для  материала  BT6  при  режиме  отжиг  зафиксировано  свойство  «пpочнoсть»:  1120  МРа;  эффект  указан  как  increase."
PAGE 5;298;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 5;299;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Группа коррозионных испытаний КОР-1;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 5;300;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 6;;;;;;;;;;"logical page marker; following rows imitate printed table page"
PAGE 6;301;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"For  Al-Zn-Mg-Cu,  aging  produced  yield  strength  =  505  МРа;  the  reported  effect  was  increase."
PAGE 6;302;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 6;303;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 6;304;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 6;305;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 6;306;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 6;307;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 6;308;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Центр механических испытаний ЦМИ-4;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  77  ksi;  эффект  указан  как  increase."
PAGE 6;309;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 6;310;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11,5;%;decrease;Лаборатория термообработки ЛТ-2;"For Al-Zn-Mg-Cu, solution treatment produced elongation = 11.5 %; the reported effect was decrease."
PAGE 6;311;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 6;312;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 6;313;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 6;314;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 6;315;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Группа коррозионных испытаний КОР-1;"Для  материала  30ХГСА  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  45  HRC;  эффект  указан  как  increase."
PAGE 6;316;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 6;317;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 6;318;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 6;319;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Группа коррозионных испытаний КОР-1;"For Ti-6Al-4V, annealing produced ultimate tensile strength = 980 MPa; the reported effect was increase."
PAGE 6;320;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 6;321;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 6;322;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Отдел металлографии ОМГ-3;Для  материала  BT6  после  peжима  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 6;323;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 6;324;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 6;325;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11,5;%;decrease;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 6;326;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 6;327;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 6;328;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Отдел металлографии ОМГ-3;For AISI 321 after solution treatment, corrosion resistance was explicitly not measured in this series.
PAGE 6;329;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для  материала  30ХГСА  при  режиме  отпуск  зафиксировано  свойство  «пpочнoсть»:  1560  МРа;  эффект  указан  как  increase."
PAGE 6;330;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 6;331;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 6;332;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 6;333;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 6;334;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 6;335;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 6;336;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Центр механических испытаний ЦМИ-4;"Для  материала  BT6  при  режиме  старение  зафиксировано  свойство  «твeрдocть»:  348  HV;  эффект  указан  как  increase."
PAGE 6;337;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Отдел металлографии ОМГ-3;For Ti-6Al-4V after annealing, corrosion resistance was explicitly not measured in this series.
PAGE 6;338;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 6;339;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 6;340;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11,5;%;decrease;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 6;341;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 6;342;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 6;343;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Лаборатория термообработки ЛТ-2;Для  материала  12X18H10T  после  peжима  растворный  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 6;344;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 6;345;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 6;346;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Отдел металлографии ОМГ-3;"For Al-Zn-Mg-Cu, aging produced yield strength = 505 MPa; the reported effect was increase."
PAGE 6;347;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 6;348;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 6;349;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 6;350;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для  материала  BT6  при  режиме  отжиг  зафиксировано  свойство  «пpочнoсть»:  1120  МРа;  эффект  указан  как  increase."
PAGE 6;351;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 6;352;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 6;353;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 6;354;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 6;355;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11,5;%;decrease;Центр механических испытаний ЦМИ-4;"For Al-Zn-Mg-Cu, solution treatment produced elongation = 11.5 %; the reported effect was decrease."
PAGE 6;356;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 6;357;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Центр механических испытаний ЦМИ-4;"Для  материала  12X18H10T  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  240  HV;  эффект  указан  как  increase."
PAGE 6;358;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 6;359;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 6;360;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Лаборатория термообработки ЛТ-2;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 7;;;;;;;;;;"logical page marker; following rows imitate printed table page"
PAGE 7;361;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Отдел металлографии ОМГ-3;"For  Al-Zn-Mg-Cu,  aging  produced  ultimate  tensile  strength  =  77  ksi;  the  reported  effect  was  increase."
PAGE 7;362;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 7;363;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 7;364;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 7;365;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 7;366;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 7;367;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 7;368;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Лаборатория термообработки ЛТ-2;"Для  материала  30ХГСА  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  45  HRC;  эффект  указан  как  increase."
PAGE 7;369;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Отдел металлографии ОМГ-3;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 7;370;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Лаборатория термообработки ЛТ-2;"For 15-5PH, aging produced hardness = 42 HRC; the reported effect was increase."
PAGE 7;371;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 7;372;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 7;373;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 7;374;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 7;375;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Группа коррозионных испытаний КОР-1;Для  материала  BT6  после  peжима  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 7;376;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 7;377;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 7;378;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 7;379;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Лаборатория термообработки ЛТ-2;"For AISI 321, quenching produced hardness = 210 HV; the reported effect was increase."
PAGE 7;380;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 7;381;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 7;382;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"Для  материала  30ХГСА  при  режиме  отпуск  зафиксировано  свойство  «пpочнoсть»:  1560  МРа;  эффект  указан  как  increase."
PAGE 7;383;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 7;384;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 7;385;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 7;386;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 7;387;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 7;388;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Лаборатория термообработки ЛТ-2;"For Ti-6Al-4V, annealing produced ultimate tensile strength = 1120 MPa; the reported effect was increase."
PAGE 7;389;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для  материала  BT6  при  режиме  старение  зафиксировано  свойство  «твeрдocть»:  348  HV;  эффект  указан  как  increase."
PAGE 7;390;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Центр механических испытаний ЦМИ-4;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 7;391;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 7;392;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 7;393;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 7;394;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 7;395;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 7;396;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для  материала  12X18H10T  после  peжима  растворный  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 7;397;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"For 30KhGSA, tempering produced ultimate tensile strength = 1560 MPa; the reported effect was increase."
PAGE 7;398;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 7;399;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Отдел металлографии ОМГ-3;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 7;400;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 7;401;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 7;402;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 7;403;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Центр механических испытаний ЦМИ-4;"Для  материала  BT6  при  режиме  отжиг  зафиксировано  свойство  «пpочнoсть»:  1120  МРа;  эффект  указан  как  increase."
PAGE 7;404;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 7;405;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 7;406;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Центр механических испытаний ЦМИ-4;"For Al-Zn-Mg-Cu, aging produced ultimate tensile strength = 77 ksi; the reported effect was increase."
PAGE 7;407;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 7;408;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 7;409;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 7;410;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Центр механических испытаний ЦМИ-4;"Для  материала  12X18H10T  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  240  HV;  эффект  указан  как  increase."
PAGE 7;411;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Центр механических испытаний ЦМИ-4;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 7;412;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
